-104.98,60.509,157.03,12.549,-164.9,84.603,-98.116,-1115.3,-1374.9,-1231.9,-890.22,-3.0693
-182.09,43.543,217.41,59.588,-232.9,106.1,-183.05,-1550.5,-1843.3,-1635.8,-1195.7,-164.58
-250.58,15.899,258.48,107.61,-287.01,112.72,-257.81,-1923.6,-2243.5,-1981.5,-1461.8,-314.8
-302.94,-29.301,265.86,156.25,-316.29,93.908,-315.34,-2187.7,-2525.1,-2226.5,-1658.8,-444.02
-334.09,-92.2,234.34,203.07,-315.58,46.935,-353.31,-2322.3,-2667.3,-2353.1,-1772.8,-545.43
-342.29,-165.74,169.23,243.7,-286.66,-22.078,-373.98,-2333.1,-2676.4,-2366.9,-1805.2,-615.36
-329.65,-238.32,84.22,273.46,-237.44,-100.57,-382.18,-2243.1,-2575.8,-2288,-1767.9,-653.28
-301.68,-298.6,-3.8015,289.5,-179.17,-174.45,-382.66,-2082.1,-2395.5,-2141.6,-1677.6,-661.63
-265.51,-339.35,-80.508,291.78,-122.58,-232.98,-378.29,-1877.4,-2164,-1951.5,-1551,-645.2
-227.08,-358.5,-137.87,282.22,-74.638,-271.1,-369.34,-1649.2,-1904.6,-1737.1,-1402.4,-609.78
-189.48,-357.86,-174.61,263.26,-37.473,-289.08,-354.14,-1410.6,-1635.1,-1512.4,-1242.1,-560.8
-150.94,-300.01,-188.19,211.32,-12.284,-254.4,-322.73,-1174.4,-1403,-1295.3,-1042.9,-540.04
-117.5,-279.39,-188.28,185.94,11.159,-242.84,-290.18,-933.84,-1137.8,-1079.3,-897.53,-463.27
-89.336,-258.81,-187.86,162.79,28.622,-232.96,-251.17,-715.03,-895.98,-877.34,-760.41,-380.63
-66.79,-240.51,-188.44,144.02,41.842,-224.19,-209.89,-528.91,-695.18,-701.47,-635.17,-310.41
-48.691,-225.96,-188.09,130.16,51.725,-216.72,-169.21,-375.47,-535.8,-554.89,-522.93,-260.52
-34.443,-215.57,-187.05,120.2,58.578,-211.07,-131,-254,-414.73,-438.82,-427.19,-225.2
-23.962,-208.13,-186.33,112.67,60.529,-207.04,-96.877,-165.77,-328.84,-353.04,-352.08,-199.39
-16.623,-201.9,-185.89,106.27,50.313,-203.2,-68.511,-109.78,-273.21,-294.47,-298.23,-180.6
-11.099,-195.61,-184.11,99.929,43.325,-198.39,-47.277,-80.766,-240.66,-257.34,-262.35,-166.98
-6.9774,-188.11,-179.9,92.616,42.058,-192.7,-33.446,-70.642,-222.66,-234.37,-238.92,-155.79
-7.8173,-178.26,-173.47,83.681,40.916,-186.59,-25.885,-72.157,-210.6,-218.06,-221.71,-142.81
-12.349,-165.49,-165.56,73.535,38.719,-179.85,-22.36,-89.422,-194.89,-200.56,-204.18,-125.01
-14.477,-150.49,-155.88,63.588,35.37,-171.56,-19.753,-100.57,-168.6,-170.06,-178.5,-106.21
-15.114,-134.85,-143.54,54.931,30.8,-160.82,-14.412,-90.399,-153.06,-134.22,-144.26,-91.795
-15.348,-119.79,-128.05,47.86,24.973,-147.41,-3.8999,-74.282,-146.8,-115.65,-115.93,-82.32
-15.552,-105.74,-109.91,42.168,18.015,-131.89,10.223,-59.309,-142.2,-108.05,-99.314,-76.257
-15.815,-92.62,-90.486,37.439,10.291,-115.28,25.051,-47.58,-137.78,-104.22,-90.256,-72.289
-16.125,-80.239,-71.293,33.33,2.331,-98.623,39.901,-38.989,-133.41,-101.7,-84.949,-69.576
-16.436,-68.467,-53.41,29.685,-5.3194,-82.723,54.581,-32.528,-129.11,-99.68,-81.421,-67.581
-16.716,-57.297,-37.294,26.478,-12.191,-67.998,68.598,-27.018,-124.81,-97.85,-78.721,-65.944
-16.967,-47.004,-22.808,23.702,-17.891,-54.445,81.533,-21.469,-120.39,-96.048,-76.389,-64.421
-17.21,-38.13,-9.4359,21.337,-22.097,-41.814,92.828,-15.219,-115.64,-94.164,-74.218,-62.875
-17.441,-31.087,3.3338,19.354,-24.696,-30.15,101.59,-7.9814,-110.4,-92.108,-72.126,-61.263
-17.629,-25.819,15.516,17.701,-25.986,-20.709,106.98,0.17028,-104.54,-89.8,-70.084,-59.615
-17.724,-21.926,25.636,16.289,-26.557,-15.192,108.35,8.8807,-98.043,-87.172,-68.068,-57.99
-17.687,-18.964,28.425,14.995,-26.879,-12.905,105.2,17.651,-91.013,-84.183,-66.046,-56.441
-17.494,-16.582,23.58,13.701,-27.118,-11.862,98.52,25.999,-83.619,-80.824,-63.981,-54.991
-17.132,-14.555,19.799,12.328,-27.242,-11.074,91.174,33.6,-76.052,-77.128,-61.837,-53.635
-16.593,-12.749,18.432,10.848,-27.169,-10.344,84.875,40.354,-68.446,-73.143,-59.579,-52.337
-15.87,-11.091,17.853,9.2796,-26.842,-9.6767,79.462,46.38,-60.815,-68.898,-57.16,-51.043
-14.973,-9.5386,17.191,7.675,-26.259,-9.0818,74.288,51.934,-53.044,-64.36,-54.503,-49.69
-13.932,-8.0831,16.217,6.1056,-25.452,-8.5543,68.937,57.305,-44.93,-59.408,-51.492,-48.23
-12.798,-6.7561,14.957,4.6395,-24.47,-8.1091,63.299,62.73,-36.263,-53.848,-47.979,-46.644
-11.612,-5.6211,13.475,3.3131,-23.348,-7.8046,57.442,68.345,-26.896,-47.444,-43.788,-44.935
-10.359,-4.7431,11.789,2.1085,-22.101,-7.7282,51.439,74.198,-16.788,-39.964,-38.731,-43.115
-8.9511,-4.1513,9.8765,0.95315,-20.739,-7.9508,45.308,80.282,-5.9983,-31.224,-32.618,-41.19
